TextName,StandNameEn,StandNameGa,Latitude,Longitude,Offenses,AssociatedPeople
Dublin,Baile Átha Cliath,Baile Átha Cliath,53.3254,-6.24306,,Thomas Richards
Dunmanway,Dunmanway,Dún Mánmhaí,51.7213,-9.11183,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Military action, Confederacy, Military action, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Multiple killing, Robbery, Succour","Humphrey Crowley, Dennis Hornedy, Teig downy alias Carty, Nicholas Dalton, Donogh oge Cruoly, Daniell Hurly, Dermond McTeige Carthy, Daniell McDonogh Hurly, Thomas Fleming, Teige Carthy"
dunnowen,Dunowen,Dún Eoghain,51.5473,-8.90803,"Captivity, Multiple killing",Dermot O Donoman
ffarinsesry,Farrannasheshery,Fearann na Seisrí,51.7316,-8.89362,"Arson, Robbery, Lost by debts",Peregrine Banaster
Fort near veale castle,"Phale Castle, Phale Upper",An Fial Uachtarach,51.72343,-8.96568,"Killing, Confederacy",Thomas Goodchilde
Gannife moore,Ganniv More,Gathannaibh Móra,51.5501,-8.93673,Confederacy,Owen Boy
Garrinfin,Garranefeen,Garrán Finn,51.6548,-8.68043,"Military action, Multiple killing",donough mc daniell
Gartin,Gurteen,An Goirtín,51.8003,-9.13248,"Assault, Captivity, Multiple killing, Stripping",Murtagh Moynagh
Glanbracke,Glanbrack,An Gleann Breac,51.6476,-9.04828,"Arson, Robbery, Lost by debts",Peregrine Banaster
Glandore,Glandore,Cuan Dor,51.5713,-9.12515,"Assault, Captivity, Multiple killing, Stripping, Multiple killing",Joseph Salmon
Glaneroghtie,,,,,"Arson, Robbery, Words, Lost by debts, Military action","Thomas Dight, John ffowles"
Glanflisk,Glenflesk,Gleann Fleisce,52.0092,-9.36915,"Arson, Robbery, Words, Lost by debts",Teige o donoghon
Glanmafoyne,Glannafeen,Gleann Ó bhFinn,51.4919,-9.30123,"Military action, Military action, Military action",Donogh O'Driskall
Gortbracke,Gortbrack,An Gort Breac,51.5206,-9.20759,"Multiple killing, Robbery, Succour",John McTeige alias mcTeige
Grilagh,Grillagh,An Ghreallach,51.7184,-9.01027,"Military action, Military action, Military action, Military action, Military action, Confederacy","James Hurley, Donough Hurley"
Hacketts Towne,Hacketstown,Baile an Aicéadaigh,51.6509,-8.62475,"Military action, Military action, Military action",Dermond McDonagh Carthy
Iniskeane,Enniskean,Inis Céin,51.7438,-8.9267,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Robbery, Lost by debts, Military action, Military action, Military action, Military action, Military action, Robbery, Confederacy, Confederacy, Confederacy, Arson, Military action, Robbery, Supporting statement, Words, Lost by debts","John McDaniell Hurly, William Roe, Phillip O Coghlane, Humphrey oge Croaly, Mr Woodley, Robert Horne"
Innishannon,Innishannon,Inis Eonáin,51.7684,-8.65918,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action","Rouland Feild, Richard Feild"
Innishannon parish,Innishannon par.,Inis Eonáin,51.773,-8.64747,"Killing, Robbery, Lost by debts",Thomas Cuple Renell Nicolls
InseneKaly,Inchirahilly,Inse Uí Raithile,51.854,-8.82625,"Assault, Robbery, Confederacy, Confederacy",Dermond Mc Teige McDermond alias Carthy
Inshifune,Inchafune,Inse Fionn,51.7096,-9.04436,"Military action, Military action, Military action, Confederacy",Edmund Duleagh
Kennegh parish,Kinneigh par.,Cinn Eich,51.7595,-8.97062,"Robbery, Lost by debts","Teige mc Shane, yeamon mc Mathewes, John mc Mathewes, Dermod O Coughhane, Thomas O Kally, danyell mc Donough, Donough O Leagh"
Kilbarry,Kilbarry,Cill Bharra,51.4808,-9.74334,"Confederacy, Confederacy, Confederacy",donogh o Megan
Kilbrittain,Kilbrittain,Cill Briotáin,51.6795,-8.68616,"Military action, Military action, Military action, Military action, Robbery, Military action, Arson, Military action, Robbery, Supporting statement, Words, Lost by debts, Military action, Multiple killing","Helkiah Hussy, Daniell oge Hurly, MacCarthy Reagh, donough mc daniell, [followers of] MacCarthy Reagh, [wife of] MacCarthy Reagh"
Kilcaskane,Kilcaskan,Cill Cháscann,51.7209,-8.99411,Confederacy,John Hurley
Kilcoe,Kilcoe,Cill Chóiche,51.5487,-9.40697,"Military action, Military action, Military action, Confederacy, Confederacy, Confederacy, Confederacy","Donnogh McDaniell Carthy, Cormack McCarthy"
Kildee,Kildee,Cill Dé,51.6814,-9.03958,"Military action, Military action, Military action, Military action, Military action, Military action","Dermod McCarthy, fflorence McDermond Carthy"
Kilkarrine parish,Kilkerranmore,Cill Chiaráin Mhór,51.6148,-8.95995,Confederacy,Mathew Mc Thomas O Hea
killowen,Killowen,Cill Eoghain,51.8847,-9.56464,"Arson, Robbery, Words, Lost by debts",ffynine mc dromod Cartie
Kilmalordy,Kilmaloda,Cill Molúda,51.6653,-8.80705,"Military action, Military action, Military action, Military action, Military action, Military action","Maghoone McTeige Itotane, Daniell McTeige Itotune"
Kilmurry parish,Kilmurray par.,Cill Mhuire,53.2061,-8.6484,"Confederacy, Confederacy, Words, Confederacy, Confederacy","Donnah McCnogher McPhinen Mahone, Teige McDonnell McPhinine O Mahone"
Kilnamanagh,Kilnamanagh,Cill na Manach,51.604,-10.1052,Military action,Donnah O Donnogan
Kilragh parish,Killeagh,Cill Ia,51.9542,-7.99935,Confederacy,William Canler
kilvarrigge,Killavarrig,Coill an Bharraigh,51.6558,-8.79611,"Multiple killing, Words, Investigative",
Kinraghbeg,Keenrath,Caoinnráth,51.7576,-9.1844,"Military action, Military action, Military action","fflorence Mc Dauid o Croaly, Morris O'Collane"
Kinsale,Kinsale,Cionn tSáile,51.7039,-8.51878,"Robbery, Confederacy",Henry Hill
Knocaduff,Knnockaghaduff,Cnoc Achaidh Dhuibh,51.7519,-9.05632,"Military action, Military action, Military action, Military action, Military action, Military action","Knogher McDonough Croaly, Teige Mcffeinine O Croaly"
Knocrikulline,Knockacullen,Cnoc an Chuillin,51.6994,-8.97095,"Military action, Military action, Military action, Military action, Military action, Military action","Cornelius McDermond Carthy, fflorance McDermond Mcfenine McCnogher"
Kullkellow,Coolkellure,Cúil Cheiliúir,51.7271,-9.18983,"Military action, Military action, Military action, Military action","Cornelius O Cullane, Daniell O Cullane"
Kynethbeg,Kinneigh,Cinn Eich,51.7634,-8.99803,"Arson, Robbery, Lost by debts",Teig mc dauid Crowly
Leape,An Léim,An Léim,51.5831,-9.1376,"Military action, Military action",Dermond O'Hangline
Leincon,Leamcon,Léim Con,51.5019,-9.61268,"Military action, Military action, Military action",Cornelius Mahoony
Letrough,Castlegregory,Caisleán Ghriaire,52.2579,-10.0148,"Military action, Military action, Military action",Walter Hussy
Lishaca,Lissacaha /North,Lios an Chatha /Thuaidh,51.5366,-9.6026,"Confederacy, Confederacy, Confederacy",Charles Mcffeinine Carthy
Lishnealagh,Lisheenleigh,An Lisín Liath,51.7892,-9.03902,"Military action, Military action, Military action, Military action",Charles McCnogher Croaly
Lissane,Lissane Lower/Upper,Liosán Íochtarach/Uachtarach,51.6256,-9.24087,"Military action, Military action, Robbery, Military action, Killing, Robbery, Lost by debts",Donogh mc Donnell Carty
Loghlanbegg,Loughane Beg,An Lochán Beag,51.599,-10.0424,Military action,Phillip O Sulevane
Longe Iland,Long Island,Inis Fada,51.495,-9.56245,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy","John McDermond McTeige, [son of] Dermond McTeige O'Coghlan"
Madame,Madame,Maigh Dain,51.6645,-8.86138,"Military action, Military action, Military action",fflorence mcDermond Carthy
Mannine,Mannin Island,Manainn,51.5368,-9.41798,"Military action, Military action, Military action, Military action, Military action, Military action",Daniell oge Carthy
Mansey,Manch East/Middle/West,Mansaí Thoir/Láir/Thiar,51.7241,-9.01223,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy","Teige Sleagh, Mortough Mahony, Donogh oge Cruoly, Donough oge Hurly"
Maulbrack,Maulbrack,Na Mealla Breaca,51.5739,-9.26791,"Military action, Military action, Military action",Donnogh McPheinine Carthy
Miras parish,Myross,Míros,51.5435,-9.14514,"Killing, Robbery, Lost by debts",Ranell mc Riccard
Mohony,Mohona,Maigh Thamhnach,51.7023,-9.11608,"Multiple killing, Robbery, Succour","Thomas mc Knougher Oge, Donnogh O Tearahan"
Monanes,Munnane,An Mónán,51.5552,-9.36285,Military action,Thomas Coppenger fitz Walter
MuskunnaGlass,Mashanaglass,Maigh Seanghlaise,51.8851,-8.91414,"Death, Confederacy","Owen O Lough, Daniell Mc owen O Lough, Owen [son of Owen] O Lough, Edmond O Lough"
ould Court,Oldcourt,An tSeanchúirt,51.5288,-9.31412,"Military action, Military action, Military action",Bruen o Driskall
Pallace,Pallas,An Phaillís,51.5925,-8.90056,"Captivity, Multiple killing","Thomas Linscome, [wife of] Thomas Linscome, [sister-in-law of] Thomas Linscome, [manservant of] Thomas Linscome, [maidservant of] Thomas Linscome, William oge o Shea"
Prulus,Prohus,Pruchas,51.9081,-9.06971,Confederacy,Teige McDonnogh Carthy
Raghtrough,Rathdrought,Ráth Drochta,51.7151,-8.65807,"Military action, Confederacy, Captivity, Confederacy, Confederacy",Donnogh McCarty
Ringarogy,Ringarogy Island,Rinn Ghearróige,51.5027,-9.38704,"Military action, Military action, Military action",Walter Coppinger
Ringogrenn,Reenogrena,Rinn Ó Grianna,51.5496,-9.08793,"Military action, Military action, Military action, Military action, Military action",Daniell Doonuiuane
Ringrone,Ringrone,Rinn Róin,51.6877,-8.53695,"Robbery, Confederacy, Robbery, Confederacy, Apostacy, Robbery, Confederacy","Jenkine James, Henry White, James Chapman"
Roose Cragh,Roosk,Rúsc,51.6759,-9.65784,Military action,Dan McTeige boy
Rosmore,Rossmore,An Ros Mór,51.6672,-8.98429,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy, Confederacy",Donnogh Donovane
Sinagh,Shanagh,An Sonnach,51.7614,-9.03254,"Confederacy, Confederacy, Confederacy",Dauid o Croaly
Sinurrane,Smorane,Smúrán,51.5601,-9.23184,"Military action, Military action, Military action",Donnogh McCarthy
Skarte,Scartbaun,An Scairt Bhán,51.656,-9.44517,"Military action, Military action, Military action",fflorence McCarthy
Skeafe,Skeaf /East/West,Scéimh /Thoir/Thiar,51.6883,-8.78869,"Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action, Military action","Dermod McTeige O Crouly, Donogh McTeige O'Croaly, John McTeige O Croaly, Daniell McTeige o Croaly"
Sloghodonnah,Monteen,Móintín,51.6777,-8.8236,"Military action, Military action, Robbery","Corm McPhinen Carthy, Teige McOwen Carthy"
South Liberties,Kilcully,Cill Chúile,51.936,-8.47331,Confederacy,George Winsmore
Srilane,Shreelane,Sraoilleán,51.5742,-9.19382,"Killing, Robbery, Lost by debts","John mc Teige, Owen mc Teige Carty"
Tallow,Tallow,Tulach an Iarainn,52.093,-8.00795,"Confederacy, Confederacy","Owen Heford, William Reade"
Templebriant,Templebryan South/North,Teampall Brianaid Theas/Thuaidh,51.6387,-8.88022,"Robbery, Multiple killing, Robbery, Succour","Thomas Harris, Teige oge mc Teige mc Daniel"
Templetrine,Templetrine par.,Teampall Trín,51.6631,-8.62257,"Robbery, Confederacy, Robbery, Confederacy",Donogh mc ffeimie oge
the Garry,Carrigillihy,Carraig Oilche,51.54,-9.11869,"Assault, Captivity, Multiple killing, Stripping",
Timoleage,Timoleague,Tigh Molaige,51.642,-8.77039,"Confederacy, Confederacy","Thomas Haines, Sir Roger O Shahane"
Toher Castle,Togher,An Tóchar,51.7631,-9.15401,"Military action, Confederacy, Robbery, Confederacy, Confederacy",Teige O Norsey
TractonAby,Tracton Abbey (Tubbrid),Tiobraid,51.76049,-8.39004,"Captivity, Military action",Larrance Cory
Trafaskie,Trafrask East/West,Trá Phraisce Thoir/Thiar,51.6844,-9.66582,Military action,Guillicody O'Suliuane
Tullineask,Tullyneasky East/West,Tulaigh Naosca Thoir/Thiar,51.6074,-8.9606,"Military action, Military action, Military action",Cornelius Croaly
veale Castle,"Phale Castle, Phale Upper",An Fial Uachtarach,51.72343,-8.96568,"Killing, Military action, Confederacy",Owen Moile Carthy
Weste Ardkitte,Ardkitt West,Ard Cit Thiar,51.7291,-8.92042,Robbery,Thomas Harris
Westmanch,Manch West,Mansaí Thiar,51.7221,-9.03322,"Robbery, Lost by debts",Nathaniell Richards
Youghall,Youghal,Eochaill,51.9513,-7.8568,Confederacy,
